gendered,non_gendered
Dier Küchenhelfer*in unterstützte bei der Zubereitung der Mahlzeiten.,Der Küchenhelfer unterstützte bei der Zubereitung der Mahlzeiten.
"Die Enthusiast:innen trafen sich regelmäßig, um ihre Modierleisenbahnen zu präsentieren.","Die Enthusiastinnen trafen sich regelmäßig, um ihre Modierleisenbahnen zu präsentieren."
... Wie viele Mitglieder hat das Fitnessstudio?,... Wie viele Nutzer hat das Fitnessstudio?
Dier Gutachter:in schätzte den Wert des Hauses.,Der Gutachter schätzte den Wert des Hauses.
Die Auszubildenden lernten die Grundlagen des Handwerks. ,Die Auszubildenden lernten die Grundlagen des Handwerks.
"Dier Bibliothekar_in half mir, das gesuchte Buch zu finden","Die Bibliothekarin half mir, das gesuchte Buch zu finden"
Die Partner:inwahl ist entscheidend für den Erfolg des Projekts.,Die Partnerwahl ist entscheidend für den Erfolg des Projekts.
Das Schwiegerkind half beim Umzug.,Der Schwiegersohn half beim Umzug.
Die Mitglieder:innen der Genossenschaft entschieden gemeinsam über die zukünftigen Projekte.,Die Mitglieder der Genossenschaft entschieden gemeinsam über die zukünftigen Projekte.
Dier Mathematiker/in löste ein komplexes Gleichungssystem.,Der Mathematiker löste ein komplexes Gleichungssystem.
Dier Schulleiter_in organisierte das Schulfest.,Der Schulleiter organisierte das Schulfest.
"Im Pilot*inlabor wurden neue Technologien getestet, bevor sie in die Massenproduktion gingen.","Im Pilotlabor wurden neue Technologien getestet, bevor sie in die Massenproduktion gingen."
Dier InfluencerIn teilte täglich Tipps zu nachhaltigem Leben auf deren Social-Media-Kanälen.,Der Influencer teilte täglich Tipps zu nachhaltigem Leben auf seinen Social-Media-Kanälen.
... Wie alt ist dein Geschwister(-kind)?,... Wie alt ist dein Bruder?
Ich bin kein:e Befürworter:in der Entscheidungen meiner Chef:in.,Ich bin keine Befürworterin der Entscheidungen meiner Chefin.
Die den Antrag bearbeitende Person informierte mich über den Stand der Dinge.,Die Bearbeiterin des Antrags informierte mich über den Stand der Dinge.
Dey ist ein großer Fan von klassischer Musik.,Sie ist ein großer Fan von klassischer Musik.
Dier Fahrschullehrer/in erklärte die Verkehrsregeln geduldig.,Die Fahrschullehrerin erklärte die Verkehrsregeln geduldig.
Die Basketballfans jubelten begeistert nach jedem Treffer.,Die Basketballfans jubelten begeistert nach jedem Treffer.
Viele Arbeitgeber_innen schätzen Pünktlichkeit und Zuverlässigkeit.,Viele Arbeitgeberinnen schätzen Pünktlichkeit und Zuverlässigkeit.
Die Fachkraft für elektrotechnische Anlagen entwickelte ein neues Schaltkreissystem.,Die Elektrotechnikerin entwickelte ein neues Schaltkreissystem.
Die Ehe teilende Person lud deren Familie zur Feier ein.,Die Ehegattin lud ihre Familie zur Feier ein.
Dier Informationssicherheitsbeauftragte hat viele Schulungen hinter sich.,Die Informationssicherheitsbeauftragte hat viele Schulungen hinter sich.
Dier Geldgeber_in unterstützte das Start-up mit einer großzügigen Investition.,Der Geldgeber unterstützte das Start-up mit einer großzügigen Investition.
Die Kraftfahrer*innen holten die Waren zuverlässig ab.,Die Kraftfahrer holten die Waren zuverlässig ab.
Dier Meldende erhielt eine Quittung für deren Meldung.,Der Meldende erhielt eine Quittung für seine Meldung.
Die Einsatzkräfte der Feuerwehr löschten den Brand schnell und effizient.,Die Feuerwehrfrauen löschten den Brand schnell und effizient.
"Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
","Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
"
Dier Ärzt/in arbeitet sehr patient/innennah und nimmt sich viel Zeit für Gespräche.,Der Arzt arbeitet sehr patientennah und nimmt sich viel Zeit für Gespräche.
Niemand wollte dier Spielverderber/in in der Gruppe haben.,Niemand wollte den Spielverderber in der Gruppe haben.
Für die Wartung des Systems wurden etwa 40 Personenstunden benötigt.,Für die Wartung des Systems wurden etwa 40 Mannstunden benötigt.
Dier Arbeitsdirektor:in ist für die Personalpolitik im Unternehmen verantwortlich.,Der Arbeitsdirektor ist für die Personalpolitik im Unternehmen verantwortlich.
Dier Fachkraft gab Rat zu dem Problem.,Der Fachmann gab fachkundigen Rat zu dem Problem.
Dier InformatikerIn entwickelte eine neue Software zur Datenanalyse.,Der Informatiker entwickelte eine neue Software zur Datenanalyse.
Dier Steinbildhauer/in arbeitete an einer beeindruckenden Statue.,Der Steinbildhauer arbeitete an einer beeindruckenden Statue.
Dier Leibeigene musste einen Großteil ihrer Ernte abgeben.,Die Leibeigene musste einen Großteil ihrer Ernte abgeben.
Dier Evakuierungshelfer/in leistete schnelle und effektive Hilfe.,Der Evakuierungshelfer leistete schnelle und effektive Hilfe.
Die Verbraucher/inpreise für alltägliche Güter sind in den letzten Jahren kontinuierlich gestiegen.,Die Verbraucherpreise für alltägliche Güter sind in den letzten Jahren kontinuierlich gestiegen.
Dier Brillenträger*in suchte nach einer neuen Fassung.,Die Brillenträgerin suchte nach einer neuen Fassung.
Der Einsteiger/inkurs in Fotografie war sehr informativ.,Der Einsteigerinkurs in Fotografie war sehr informativ.
"Die Leitung des Dekanats hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten.","Die Dekanin hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten."
Dier Rettungshelfer*in war schnell vor Ort.,Die Rettungshelferin war schnell vor Ort.
Die Einwohner*inzahl der Stadt hat in den letzten Jahren stetig zugenommen.,Die Einwohnerzahl der Stadt hat in den letzten Jahren stetig zugenommen.
Dier Funktionsträger_in hatte eine wichtige Rolle in der Organisation.,Der Funktionsträger hatte eine wichtige Rolle in der Organisation.
Die Generalsekretariatsfachkracht des Vereins gab die neuesten Beschlüsse bekannt.,Der Generalsekretär des Vereins gab die neuesten Beschlüsse bekannt.
Dier Callcenter Agent:in Miks hat wie immer eine super Leistung gezeigt.,Die Callcenter Agentin Miks hat wie immer eine super Leistung gezeigt.
Die Supervisor_innen trafen sich zu einer Besprechung.,Die Supervisoren trafen sich zu einer Besprechung.
Heute ist Mpho als Begleiter/in eingetragen. Dey hat mehrere Jahre im Kindergarten gearbeitet.,Heute ist Mpho als Begleiter eingetragen. Er hat mehrere Jahre im Kindergarten gearbeitet.
"Dier Immobilieneigentümer:in beschloss, deren Anwesen zu verkaufen.","Die Immobilieneigentümerin beschloss, ihr Anwesen zu verkaufen."
Dier Erzieher*in kümmert sich liebevoll um die Kinder im Kindergarten.,Die Erzieherin kümmert sich liebevoll um die Kinder im Kindergarten.
Die Nutzer*inentgelte für den Service sind moderat.,Die Nutzerentgelte für den Service sind moderat.
Im Expert_inneninterview wurden tiefe Einblicke gewährt.,Im Experteninterview wurden tiefe Einblicke gewährt.
Dey will sich behaupten. ,Sie will sich behaupten. 
In der Fußgänger:inzone gibt es viele Geschäfte und Cafés.,In der Fußgängerinzone gibt es viele Geschäfte und Cafés.
Als wissenschaftliche:r Referent*in der Stiftung XY verfasst dey Berichte und Analysen zu aktuellen Forschungsthemen.,Als wissenschaftliche Referentin der Stiftung XY verfasst sie Berichte und Analysen zu aktuellen Forschungsthemen.
Dier Hebamme unterstützte während der Geburt.,Die Hebamme unterstützte während der Geburt.
Dier Endverbraucher_in profitiert von den niedrigeren Preisen.,Der Endverbraucher profitiert von den niedrigeren Preisen.
Dier Händler_in verkaufte frisches Obst und Gemüse auf dem Markt.,Der Händler verkaufte frisches Obst und Gemüse auf dem Markt.
"Eine Person, die fleißig arbeitet, wird belohnt.","Jemand, der fleißig arbeitet, wird belohnt."
Dier ZuschauerIn klatschte begeistert nach der Aufführung.,Die Zuschauerin klatschte begeistert nach der Aufführung.
"Die V-Leute wurden von den Behörden eingesetzt, um illegale Machenschaften aufzudecken.","Die V-Frauen wurden von den Behörden eingesetzt, um illegale Machenschaften aufzudecken."
Die erste Hilfe leistende Person reagierte schnell und leistete sofortige Hilfe.,Der Ersthelfer reagierte schnell und leistete sofortige Hilfe.
Das Schulpraktikum bot den Jugendlichen einen Einblick in verschiedene Berufsfelder.,Das Schülerpraktikum bot den Jugendlichen einen Einblick in verschiedene Berufsfelder.
Die Sänger*innen trafen die hohen Töne nicht. ,Die Sänger trafen die hohen Töne nicht. 
Als der Mensch für alles in unserem Büro ist dey für alle administrativen Aufgaben zuständig.,Als das Mädchen für alles in unserem Büro ist sie für alle administrativen Aufgaben zuständig.
Dier Sklav_in musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.,Der Sklave musste unter schweren Bedingungen in der Fabrik arbeiten. Er hatte keine Aussicht auf Freiheit oder fairen Lohn.
Dier Strateg:in entwickelte einen Plan für den Wettbewerb.,Die Strategin entwickelte einen Plan für den Wettbewerb.
Yasmin ist bei uns als Betreuer:in im Kindergarten tätig,Yasmin ist bei uns als Betreuer im Kindergarten tätig
Dier AmateurIn steht vor einer neuen Herausforderung.,Der Amateur steht vor einer neuen Herausforderung.
"Die Bürger*inwissenschaft ermöglicht es Lai*innen, an wissenschaftlichen Projekten teilzunehmen.","Die Bürgerwissenschaft ermöglicht es Laien, an wissenschaftlichen Projekten teilzunehmen."
Dier Polster*in restaurierte das antike Sofa.,Der Polsterer restaurierte das antike Sofa.
Dier SprengbefugteR war für die sichere Durchführung von Sprengarbeiten auf der Baustelle verantwortlich.,Der Sprengbefugter war für die sichere Durchführung von Sprengarbeiten auf der Baustelle verantwortlich.
Dier Torhüter_in rettete mehrere entscheidende Schüsse und sicherte dem Team den Sieg im Spiel.,Der Torhüter rettete mehrere entscheidende Schüsse und sicherte dem Team den Sieg im Spiel.
"Dier Manipulant*in versuchte, die Ergebnisse zu beeinflussen.","Die Manipulantin versuchte, die Ergebnisse zu beeinflussen."
Eine bürger/innahe Verwaltung ist wichtig für das Vertrauen der Bürger/innen.,Eine bürgerinnahe Verwaltung ist wichtig für das Vertrauen der Bürgerinnen.
Vormund*in ist Person Schulz.,Vormundin ist Frau Schulz.
Dier Sicherheitsbeauftragte überwachte die Sicherheitsvorkehrungen und sorgte für ein sicheres Arbeitsumfeld.,Die Sicherheitsbeauftragte überwachte die Sicherheitsvorkehrungen und sorgte für ein sicheres Arbeitsumfeld.
Die Zoobesucher*innen erfreuten sich an den neu renovierten Gehegen und den verschiedenen Tieren im Park.,Die Zoobesucherinnen erfreuten sich an den neu renovierten Gehegen und den verschiedenen Tieren im Park.
Im Bürger_inamt kann man einen neuen Personalausweis beantragen.,Im Bürgerinamt kann man einen neuen Personalausweis beantragen.
Dier InspekteurIn überprüfte die Sicherheitsstandards in der Fabrik.,Der Inspekteur überprüfte die Sicherheitsstandards in der Fabrik.
Dier Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.,Die Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.
Dier BetriebswirtIn analysierte die finanziellen Daten des Unternehmens.,Die Betriebswirtin analysierte die finanziellen Daten des Unternehmens.
Als Macher:in in deren Team übernimmt dey stets die Initiative und setzt deren Ideen energisch und erfolgreich in die Tat um.,Als Macher in seinem Team übernimmt er stets die Initiative und setzt seine Ideen energisch und erfolgreich in die Tat um.
... alle Menschen an Bord!,... alle Mann an Bord!
Die Leitung des Lehrstuhles veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Die Lehrstuhlinhaberin veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.
Dier Historiker*in erforschte die Geschichte des Mittelalters.,Die Historikerin erforschte die Geschichte des Mittelalters.
Die KfZ-Mechanik-Fachkraft reparierte mein Auto schnell und zu einem fairen Preis.,Die KfZ-Mechanikerin reparierte mein Auto schnell und zu einem fairen Preis.
... Anna und Peter sind Arbeitskolleg*innen.,... Anna und Peter sind Arbeitskollegen.
Die Mitarbeiter_inverpflegung in der Kantine umfasst eine Vielzahl gesunder Mahlzeiten.,Die Mitarbeiterverpflegung in der Kantine umfasst eine Vielzahl gesunder Mahlzeiten.
Dier Freigeber/in stellte deren Arbeit unter einer offenen Lizenz zur Verfügung.,Der Freigeber stellte seine Arbeit unter einer offenen Lizenz zur Verfügung.
Das Nationalteam feierte ihren Sieg im Finale des Turniers und brachte damit stolz den Pokal zurück in ihr Heimatland.,Die Nationalmannschaft feierte ihren Sieg im Finale des Turniers und brachte damit stolz den Pokal zurück in ihr Heimatland.
Dier OberärztIn leitet die chirurgische Abteilung.,Der Oberarzt leitet die chirurgische Abteilung.
Die wandernde Person durchstreifte die Berge und genoss die frische Luft.,Der Wanderer durchstreifte die Berge und genoss die frische Luft.
Dier Sklav/in musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.,Die Sklavin musste unter schweren Bedingungen in der Fabrik arbeiten. Sie hatte keine Aussicht auf Freiheit oder fairen Lohn.
Als Erwachsene:r hat man viele Verantwortungen zu tragen.,Als Erwachsene hat man viele Verantwortungen zu tragen.
Die Trauzeug/innen unterstützten das Paar am Hochzeitstag.,Die Trauzeuginnen unterstützten das Paar am Hochzeitstag.
Dier Azubi zeigte großes Engagement und brachte frische Ideen in das Projekt ein. Deren Ausbilder_in war sehr zufrieden mit denen.,Der Azubi zeigte großes Engagement und brachte frische Ideen in das Projekt ein. Sein Ausbilder war sehr zufrieden mit ihm.
Die Polizist/innen patrouillierten in der Stadt.,Die Polizistinnen patrouillierten in der Stadt.
Dier Kontrolleur/in überprüfte sorgfältig die Sicherheitsstandards im Werk.,Die Kontrolleurin überprüfte sorgfältig die Sicherheitsstandards im Werk.
Die Pflegefachkraft kümmerte sich liebevoll um die zu behandelnden Personen.,Die Krankenschwester kümmerte sich liebevoll um die Patientinnen.
Nicht alle Jüd/innen sind gläubig. ,Nicht alle Juden sind gläubig. 
Der Kurs für Fortgeschrittene baute auf den Grundlagen des vorherigen Kurses auf.,Der Kurs für Fortgeschrittene baute auf den Grundlagen des vorherigen Kurses auf.
Dier Händler_in verkaufte frisches Obst und Gemüse auf dem Markt.,Die Händlerin verkaufte frisches Obst und Gemüse auf dem Markt.
Dier Auftragnehmer_in führte die Arbeiten pünktlich aus.,Der Auftragnehmer führte die Arbeiten pünktlich aus.
Dier Seminarleiter_in führte durch das Programm des Workshops.,Der Seminarleiter führte durch das Programm des Workshops.
Dier AtheistIn diskutierte offen über deren Überzeugungen.,Die Atheistin diskutierte offen über ihre Überzeugungen.
Die Fahrschullehrkraft erklärte die Verkehrsregeln geduldig.,Der Fahrschullehrer erklärte die Verkehrsregeln geduldig.
Dier Produzent/in plante die Veröffentlichung des neuen Albums.,Die Produzentin plante die Veröffentlichung des neuen Albums.
Die finanzbeauftragte Person überwachte die Budgeteinhaltung des Unternehmens.,Der Finanzbeauftragte überwachte die Budgeteinhaltung des Unternehmens.
"Die Enthusiast/innen trafen sich regelmäßig, um ihre Modierleisenbahnen zu präsentieren.","Die Enthusiasten trafen sich regelmäßig, um ihre Modierleisenbahnen zu präsentieren."
Dier WächterIn des Waldes beschützt die Tiere und Pflanzen vor Eindringlingen.,Der Wächter des Waldes beschützt die Tiere und Pflanzen vor Eindringlingen.
Dier Fahrschüler:in machte deren erste Fahrstunde.,Die Fahrschülerin machte ihre erste Fahrstunde.
"... Der Verein ist ein Zusammenschluss von Eltern, Lehrkräften und Freund_innen der Schule.","... Der Verein ist ein Zusammenschluss von Eltern, Lehrkräften und Freunden der Schule."
Dier Literaturkritiker:in verfasste eine ausführliche Rezension des neuen Romans.,Die Literaturkritikerin verfasste eine ausführliche Rezension des neuen Romans.
"Dier Hersteller/in brachte ein neues, innovatives Produkt auf den Markt.","Die Herstellerin brachte ein neues, innovatives Produkt auf den Markt."
Missymagazin sucht eine/n Abonnent/in,Missymagazin sucht einen Abonnent
Die Patient/inversorgung in der Klinik ist umfassend und umfasst sowohl medizinische als auch pflegerische Aspekte.,Die Patientinversorgung in der Klinik ist umfassend und umfasst sowohl medizinische als auch pflegerische Aspekte.
"Dier Nachfolgerin wurde sorgfältig ausgewählt, um die Kontinuität in der Führung des Unternehmens zu gewährleisten und neue Impulse zu setzen.","Die Nachfolgerin wurde sorgfältig ausgewählt, um die Kontinuität in der Führung des Unternehmens zu gewährleisten und neue Impulse zu setzen."
Dier Podolog/in kümmerte sich um die Fußgesundheit und behandelte verschiedene Fußbeschwerden.,Der Podologe kümmerte sich um die Fußgesundheit und behandelte verschiedene Fußbeschwerden.
"Dier Diplom-IngenieurIn hat eine Brücke entworfen, die als Meisterwerk gilt.","Die Diplom-Ingenieurin hat eine Brücke entworfen, die als Meisterwerk gilt."
"Dier Sparer_in legte regelmäßig Geld auf einem Sparbuch an, um für die Zukunft vorzusorgen.","Der Sparer legte regelmäßig Geld auf einem Sparbuch an, um für die Zukunft vorzusorgen."
Das junge Team feierte seinen Sieg ausgiebig.,Das Jungenteam feierte seinen Sieg ausgiebig.
"Die Tagesbetreuung kümmerten sich liebevoll um die Kinder, während ihre Eltern bei der Arbeit waren.","Der Tagesväter kümmerten sich liebevoll um die Kinder, während ihre Eltern bei der Arbeit waren."
Dier Sozialleistungsträger_in kümmert sich um die Auszahlung von Sozialleistungen an Bedürftige.,Der Sozialleistungsträger kümmert sich um die Auszahlung von Sozialleistungen an Bedürftige.
Die Wanderung für Genussmenschen führte durch malerische Weinberge.,Die Wanderung für Genießer führte durch malerische Weinberge.
"Ein positives Kund/inerlebnis ist entscheidend, damit die Kund/innen gerne wiederkommen.","Ein positives Kundenerlebnis ist entscheidend, damit die Kunden gerne wiederkommen."
Beim Abschied sagte die jagende Person „Waidleutsheil!“.,Beim Abschied sagte der Jäger „Waidmannsheil!“.
Dier Sozialmediziner*in analysierte die gesundheitlichen Auswirkungen sozialer Ungleichheiten.,Der Sozialmediziner analysierte die gesundheitlichen Auswirkungen sozialer Ungleichheiten.
"Die V-Person arbeitete undercover, um Informationen über kriminelle Aktivitäten zu sammeln.","Die V-Frau arbeitete undercover, um Informationen über kriminelle Aktivitäten zu sammeln."
Dier Schwimmlehrer*in brachte den Kindern das Tauchen bei.,Die Schwimmlehrerin brachte den Kindern das Tauchen bei.
Die Zimmereifachkraft fertigte maßgefertigte Möbelstücke an.,Die Zimmerfrau fertigte maßgefertigte Möbelstücke an.
Über mein Kund/inkonto kann ich meine Bestellungen und Rechnungen bequem verwalten.,Über mein Kundinkonto kann ich meine Bestellungen und Rechnungen bequem verwalten.
Dier Notar*in beglaubigte die rechtsgültigen Dokumente und sorgte für eine reibungslose Abwicklung des Immobilienkaufs.,Die Notarin beglaubigte die rechtsgültigen Dokumente und sorgte für eine reibungslose Abwicklung des Immobilienkaufs.
"Die Zitat gebende Person lieferte die berühmten Worte, die in der Rede verwendet wurden, um die Botschaft zu verstärken.","Die Zitatgeberin lieferte die berühmten Worte, die in der Rede verwendet wurden, um die Botschaft zu verstärken."
Dier GeschäftsführerIn präsentierte die neuen Unternehmensziele.,Der Geschäftsführer präsentierte die neuen Unternehmensziele.
Medien und politische BeobachterInnen gehen von zwei möglichen Szenarien aus.,Medien und politische Beobachterinnen gehen von zwei möglichen Szenarien aus.
Die Ingenieur:innen arbeiteten an der Konstruktion einer neuen Brücke.,Die Ingenieurinnen arbeiteten an der Konstruktion einer neuen Brücke.
Dier Geisterfahrer_in verursachte einen schweren Unfall auf der Autobahn.,Die Geisterfahrerin verursachte einen schweren Unfall auf der Autobahn.
Die NarrInnen freuen sich auf Karneval.,Die Narren freuen sich auf Karneval.
Dier Erzieher:in kümmert sich liebevoll um die Kinder im Kindergarten.,Die Erzieherin kümmert sich liebevoll um die Kinder im Kindergarten.
"Die Interviewer:innen bereiteten sich gründlich auf das Gespräch vor, um alle relevanten Themen abzudecken.","Die Interviewerinnen bereiteten sich gründlich auf das Gespräch vor, um alle relevanten Themen abzudecken."
"Der Kund/inservice steht Ihnen rund um die Uhr zur Verfügung, um Ihre Anliegen zu klären.","Der Kundinservice steht Ihnen rund um die Uhr zur Verfügung, um Ihre Anliegen zu klären."
In der König_inklasse des Motorsports dominieren die besten Fahrerinnen der Welt.,"In der Königsklasse des Motorsports dominieren die besten Fahrer der Welt.
"
"Der regelmäßige Kund/inkontakt ist wichtig, um die Bedürfnisse der Kund/innen besser zu verstehen.","Der regelmäßige Kundenkontakt ist wichtig, um die Bedürfnisse der Kunden besser zu verstehen."
Dier Ärzt:in diagnostizierte die Krankheit schnell und genau.,Der Arzt diagnostizierte die Krankheit schnell und genau.
Für Tierschützende ist der Schutz von Wildtieren eine wichtiges Thema.,Für Tierschützer ist der Schutz von Wildtieren eine wichtiges Thema.
Dier Münchner:in genoss die warme Sonne im Englischen Garten.,Die Münchnerin genoss die warme Sonne im Englischen Garten.
Dier Pädagog:in engagiert sich für eine bessere Bildung.,Der Pädagoge engagiert sich für eine bessere Bildung.
"Die ausstattende Person sorgte dafür, dass die Bühne mit den passenden Requisiten und Kostümen ausgestattet war.","Die Ausstatterin sorgte dafür, dass die Bühne mit den passenden Requisiten und Kostümen ausgestattet war."
"Dier Tutor:in half den Student:innen dabei, die komplexen mathematischen Konzepte besser zu verstehen.","Der Tutor half den Studenten dabei, die komplexen mathematischen Konzepte besser zu verstehen."
Die Archivar*innen bewahren historische Manuskripte auf.,Die Archivarinnen bewahren historische Manuskripte auf.
"Die Kommiliton/innen trafen sich regelmäßig in der Bibliothek, um gemeinsam zu lernen und sich gegenseitig zu unterstützen.","Die Kommilitonen trafen sich regelmäßig in der Bibliothek, um gemeinsam zu lernen und sich gegenseitig zu unterstützen."
Dey ist ein*e direkte: Nachfahr*in der berühmten Entdeckerperson.,Er ist ein direkter Nachfahre des berühmten Entdeckers.
Das Student_inwohnheim bietet günstige Unterkünfte.,Das Studentinwohnheim bietet günstige Unterkünfte.
"... Manch einer Person ist gar nicht klar, was dey damit anrichtet.","... Manch einer ist gar nicht klar, was sie damit anrichtet."
Dier Vermieter/in hat die Miete für das nächste Jahr erhöht.,Die Vermieterin hat die Miete für das nächste Jahr erhöht.
Die StammkundInnen bekommen einen Rabatt auf ihre Einkäufe.,Die Stammkunden bekommen einen Rabatt auf ihre Einkäufe.
Das Board ist gefüllt mit Aktionär_innen.,Das Board ist gefüllt mit Aktionären
Dey bewarb sich auf die freie LektorInstelle bei einem renommierten Verlag.,Sie bewarb sich auf die freie Lektorinstelle bei einem renommierten Verlag.
Wir haben eine neue Nutzer:ingruppe für Anfänger:innen erstellt.,Wir haben eine neue Nutzergruppe für Anfänger erstellt.
Dier PodologIn kümmerte sich um die Fußgesundheit und behandelte verschiedene Fußbeschwerden.,Die Podologin kümmerte sich um die Fußgesundheit und behandelte verschiedene Fußbeschwerden.
Das Studierendenwohnheim bietet günstige Unterkünfte.,Das Studentenwohnheim bietet günstige Unterkünfte.
"Dier GegnerIn war stark, aber dey gab nicht auf.","Die Gegnerin war stark, aber sie gab nicht auf."
Dier KlientIn besprach deren Anliegen vertrauensvoll mit deren BeraterIn und arbeitete gemeinsam an Lösungen für deren individuellen Bedürfnisse.,Der Klient besprach seine Anliegen vertrauensvoll mit seinem Berater und arbeitete gemeinsam an Lösungen für seine individuellen Bedürfnisse.
Die Präsident_inwahl findet alle vier Jahre statt.,Die Präsidentinwahl findet alle vier Jahre statt.
Die dem Antrag entgegentretende Person legte Berufung gegen die Entscheidung ein.,Der Antragsgegner legte Berufung gegen die Entscheidung ein.
Im Fahrgäst:inraum des Busses herrschte eine entspannte Atmosphäre.,Im Fahrgästinraum des Busses herrschte eine entspannte Atmosphäre.
"Dier LandnutzerIn bewirtschaftet deren Grundstück nachhaltig, um die Bodenqualität zu erhalten.","Der Landnutzer bewirtschaftet sein Grundstück nachhaltig, um die Bodenqualität zu erhalten."
Dier Schuldner_in konnte deren Rechnungen nicht mehr bezahlen.,Der Schuldner konnte seine Rechnungen nicht mehr bezahlen.
Die Gäst:infreund:inschaft der Familie war überwältigend.,Die Gästinfreundinschaft der Familie war überwältigend.
