non_gendered,gendered,predicted
Meine Freundin und ich treffen uns jeden Freitag zum Abendessen.,Mein_e Freund_in und ich treffen uns jeden Freitag zum Abendessen.,Mein Freund und ich treffen uns jeden Freitag zum Abendessen.
Der Arbeitsdirektor ist für die Personalpolitik im Unternehmen verantwortlich.,Dier Arbeitsdirektor:in ist für die Personalpolitik im Unternehmen verantwortlich.,Die Arbeitsdirektorin ist für die Personalpolitik im Unternehmen verantwortlich.
... Der Gewinn betrug 20 Euro pro Frau.,... Der Gewinn betrug 20 Euro pro Person.,... Der Gewinn betrug 20 Euro pro Person.
Der Personalleiter entscheidet über die Neueinstellungen.,Dier Personalleiter/in entscheidet über die Neueinstellungen.,Die Personalleiterin entscheidet über die Neueinstellungen.
"Beim Schülertriathlon traten die Kinder in den Disziplinen Schwimmen, Radfahren und Laufen gegeneinander an.","Beim Schüler*intriathlon traten die Kinder in den Disziplinen Schwimmen, Radfahren und Laufen gegeneinander an.","Beim Schülertriathlon traten die Kinder in den Disziplinen Schwimmen, Radfahren und Laufen gegeneinander an."
Die Magierin faszinierte die Kinder im Publikum.,Dier MagierIn faszinierte die Kinder im Publikum.,Der Magier faszinierte die Kinder im Publikum.
Ich habe heute einen Friseurintermin.,Ich habe heute einen Friseur/intermin.,Ich habe heute einen Friseurtermin.
Der Hauptmieter ist verantwortlich für die Zahlung der Miete.,Die Hauptmietperson ist verantwortlich für die Zahlung der Miete.,Die Hauptmietin ist verantwortlich für die Zahlung der Miete.
Muttermilch ist die beste Nahrung für Neugeborene.,Elternmilch ist die beste Nahrung für Neugeborene.,Elternmilch ist die beste Nahrung für Neugeborene.
Der Tante-Emma-Laden ist bekannt für seine freundliche Atmosphäre und das vielfältige Sortiment an traditionellen Lebensmitteln.,Der Minimarkt ist bekannt für seine freundliche Atmosphäre und das vielfältige Sortiment an traditionellen Lebensmitteln.,Der Minimarkt ist bekannt für seine freundliche Atmosphäre und das vielfältige Sortiment an traditionellen Lebensmitteln.
Der Elektrotechniker entwickelte ein neues Schaltkreissystem.,Dier Elektrotechniker_in entwickelte ein neues Schaltkreissystem.,Die Elektrotechnikerin entwickelte ein neues Schaltkreissystem.
Die Ermittlerinnen fanden die Schuldigen nach intensiven Untersuchungen.,Die Ermittler/innen fanden die Schuldigen nach intensiven Untersuchungen.,Die Ermittlerinnen fanden die Schuldigen nach intensiven Untersuchungen.
"Die Sprachschülerinnen übten täglich, um ihre Sprachkenntnisse zu verbessern.","Die Sprachschüler_innen übten täglich, um ihre Sprachkenntnisse zu verbessern.","Die Sprachschüler übten täglich, um ihre Sprachkenntnisse zu verbessern."
Es ist Pflicht ein Absolventinpraktikum zu machen,Es ist Pflicht ein Absolvent/inpraktikum zu machen,Es ist Pflicht ein Absolventinpraktikum zu machen
... Diskutiere mit deinem Sitznachbarn.,... Diskutiere mit deiner Sitznachbar:in.,... Diskutiere mit deiner Sitznachbarin.
Der Vordenker brachte innovative Ideen ein.,Dier Vordenker*in brachte innovative Ideen ein.,Der Vordenker brachte innovative Ideen ein.
Die Callcenter Agentin Miks hat wie immer eine super Leistung gezeigt.,Dier Callcenter Agent/in Miks hat wie immer eine super Leistung gezeigt.,Der Callcenter Agent Miks hat wie immer eine super Leistung gezeigt.
"Die Inhaber der Firma entschieden sich, das Geschäft zu erweitern.","Die Inhabenden der Firma entschieden sich, das Geschäft zu erweitern.","Die Inhabenden der Firma entschieden sich, das Geschäft zu erweitern."
Als Mandatsträger im Stadtrat setzt er sich für die Belange der Bürger ein.,Als MandatsträgerIn im Stadtrat setzt dey sich für die Belange der BürgerInnen ein.,Als Mandatsträger im Stadtrat setzt sie sich für die Belange der Bürgerinnen ein.
Die Programmiererin schrieb den Code für die neue App.,Dier Programmierer/in schrieb den Code für die neue App.,Der Programmierer schrieb den Code für die neue App.
Ich möchte die Chefärztinbehandlung.,Ich möchte die Chefärzt_inbehandlung.,Ich möchte die Chefärztinbehandlung.
Der Zahnarzt empfahl eine gründliche Zahnreinigung.,Dier Zahnärzt:in empfahl eine gründliche Zahnreinigung.,Der Zahnärzt empfahl eine gründliche Zahnreinigung.
Er kümmerte sich stiefväterlich um die Kinder.,Dey kümmerte sich stiefelterlich um die Kinder.,Sie kümmerte sich stiefelterlich um die Kinder.
Die Direktorin hielt eine Rede vor der gesamten Schule.,Die Leitung hielt eine Rede vor der gesamten Schule.,Die Leitung hielt eine Rede vor der gesamten Schule.
"Die Ministerin kündigte neue Maßnahmen an, um das Bildungssystem zu verbessern und die Chancengleichheit an Schulen zu fördern.","Dier Minister:in kündigte neue Maßnahmen an, um das Bildungssystem zu verbessern und die Chancengleichheit an Schulen zu fördern.","Der Minister kündigte neue Maßnahmen an, um das Bildungssystem zu verbessern und die Chancengleichheit an Schulen zu fördern."
Der Sklave musste unter schweren Bedingungen in der Fabrik arbeiten. Er hatte keine Aussicht auf Freiheit oder fairen Lohn.,Dier Sklav_in musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.,Der Sklav musste unter schweren Bedingungen in der Fabrik arbeiten. Er hatte keine Aussicht auf Freiheit oder fairen Lohn.
Die Selbstmörderin hinterließ einen Abschiedsbrief.,Dier Selbstmörder:in hinterließ einen Abschiedsbrief.,Die Selbstmörderin hinterließ einen Abschiedsbrief.
Der Einflussnehmer spielte eine entscheidende Rolle in der Politik.,Dier EinflussnehmerIn spielte eine entscheidende Rolle in der Politik.,Der Einflussnehmer spielte eine entscheidende Rolle in der Politik.
"Josh, Pauli, und Thato sind Alltagshelden, denn sie setzen sich jeden Tag für das Wohl anderer Menschen ein.","Josh, Pauli, und Thato sind Menschen mit Zivilcourage, denn sie setzen sich jeden Tag für das Wohl anderer Menschen ein.","Josh, Pauli, und Thato sind Menschen mit Zivilcourage, denn sie setzen sich jeden Tag für das Wohl anderer Menschen ein."
Die Beobachteringruppe überwachte die Wahl.,Die Beobachter*ingruppe überwachte die Wahl.,Die Beobachtergruppe überwachte die Wahl.
Eine Subunternehmerin erledigte die speziellen Bauarbeiten am Projekt.,Ein/e Subunternehmer/in erledigte die speziellen Bauarbeiten am Projekt.,Die Subunternehmerin erledigte die speziellen Bauarbeiten am Projekt.
Unsere Partnerinorganisation unterstützt uns bei internationalen Projekten.,Unsere Partner_inorganisation unterstützt uns bei internationalen Projekten.,Unsere Partnerorganisation unterstützt uns bei internationalen Projekten.
"Die Polizei nahm den Verbrecher fest, der für eine Reihe von Einbrüchen in der Nachbarschaft verantwortlich war.","Die Polizei nahm dier Verbrecher_in fest, dier für eine Reihe von Einbrüchen in der Nachbarschaft verantwortlich war.","Die Polizei nahm die Verbrecherin fest, die für eine Reihe von Einbrüchen in der Nachbarschaft verantwortlich war."
Der Betriebsrat vertritt die Interessen der Angestellten im Unternehmen.,Das Mitglied des Betriebsrates vertritt die Interessen der Angestellten im Unternehmen.,Die Betriebsrates vertritt die Interessen der Angestellten im Unternehmen.
Der Schmied formte das heiße Eisen zu einem Hufeisen.,Die auf die Schmiedekunst spezialisierte Person formte das heiße Eisen zu einem Hufeisen.,Die Schmiedekunst spezialisierte formte das heiße Eisen zu einem Hufeisen.
"Er war der einzige, der die schwierige Prüfung bestand.","Dey war dier einzige, dier die schwierige Prüfung bestand.","Sie war der einzige, der die schwierige Prüfung bestand."
Der Veterinär untersuchte das kranke Pferd gründlich und stellte eine genaue Diagnose.,Dier VeterinärIn untersuchte das kranke Pferd gründlich und stellte eine genaue Diagnose.,Der Veterinär untersuchte das kranke Pferd gründlich und stellte eine genaue Diagnose.
Er ist ein großer Fan von klassischer Musik.,Dey ist ein großer Fan von klassischer Musik.,Sie ist ein großer Fan von klassischer Musik.
Durch gezielte Kundenwerbung konnten wir unsere Reichweite erheblich steigern.,Durch gezielte Kund:inwerbung konnten wir unsere Reichweite erheblich steigern.,Durch gezielte Kundinwerbung konnten wir unsere Reichweite erheblich steigern.
"Der Konsortialpartner bestimmte die Finanzierung des großen Bauprojekts.
",Dier Konsortialpartner:in bestimmte die Finanzierung des großen Bauprojekts.,Die Konsortialpartnerin bestimmte die Finanzierung des großen Bauprojekts.
Der Testleiter erklärte den Teilnehmern die Regeln und überwachte den gesamten Prüfungsverlauf.,Dier TestleiterIn erklärte den TeilnehmerInnen die Regeln und überwachte den gesamten Prüfungsverlauf.,Der Testleiter erklärte den Teilnehmern die Regeln und überwachte den gesamten Prüfungsverlauf.
Der Alumni reflektiert oft über sein vergangenen Erfahrungen.,Dier Alumni reflektiert oft über deren vergangenen Erfahrungen.,Die Alumni reflektiert oft über ihre vergangenen Erfahrungen.
Der Museologe kuratierte die Ausstellung im Museum.,Dier Museolog/in kuratierte die Ausstellung im Museum.,Die Museologin kuratierte die Ausstellung im Museum.
Die erfahrene Kraftfahrerin lieferte die Waren pünktlich an alle Zielorte.,Dier erfahrene Kraftfahrer*in lieferte die Waren pünktlich an alle Zielorte.,Der erfahrene Kraftfahrer lieferte die Waren pünktlich an alle Zielorte.
"Der Layouter gestaltete das Magazin so, dass es ansprechend und übersichtlich für die Leser war.","Dier Layouter:in gestaltete das Magazin so, dass es ansprechend und übersichtlich für die Leser:innen war.","Der Layouter gestaltete das Magazin so, dass es ansprechend und übersichtlich für die Leser war."
"Die Veganerin bevorzugt eine Ernährung, die frei von tierischen Produkten wie Fleisch, Milch und Eiern ist.","Dier Veganer*in bevorzugt eine Ernährung, die frei von tierischen Produkten wie Fleisch, Milch und Eiern ist.","Die Veganerin bevorzugt eine Ernährung, die frei von tierischen Produkten wie Fleisch, Milch und Eiern ist."
Der staatlich anerkannte Techniker erhielt die Zulassung.,Dier staatlich anerkannte Techniker:in erhielt die Zulassung.,Der staatlich anerkannte Techniker erhielt die Zulassung.
Viele Zivilisten waren von den Kämpfen betroffen.,Viele Zivilist/innen waren von den Kämpfen betroffen.,Viele Zivilistinnen waren von den Kämpfen betroffen.
Durch den Frühbucherinrabatt konnten wir die Reise günstiger buchen.,Durch den FrühbucherInrabatt konnten wir die Reise günstiger buchen.,Durch den Frühbucherrabatt konnten wir die Reise günstiger buchen.
Der Einlader schickte die Einladungen per Post.,Dier EinladerIn schickte die Einladungen per Post.,Die Einladerin schickte die Einladungen per Post.
Die Webseite ist sehr nutzerorientiert gestaltet.,Die Webseite ist sehr nutzer*inorientiert gestaltet.,Die Webseite ist sehr nutzerorientiert gestaltet.
Der Keramiker formt aus Ton wunderschöne Vasen und Schalen.,Dier Keramiker*in formt aus Ton wunderschöne Vasen und Schalen.,Der Keramiker formt aus Ton wunderschöne Vasen und Schalen.
Der Sprecherinwechsel während der Konferenz verlief reibungslos.,Der Sprecher_inwechsel während der Konferenz verlief reibungslos.,Der Sprecherinwechsel während der Konferenz verlief reibungslos.
Ein Benutzerfehler führte zu einem Systemabsturz.,Ein Benutzer/infehler führte zu einem Systemabsturz.,Ein Benutzerfehler führte zu einem Systemabsturz.
"Wir haben zahlreiche positive Kundenreferenzen, die die Qualität unserer Produkte unterstreichen.","Wir haben zahlreiche positive KundInreferenzen, die die Qualität unserer Produkte unterstreichen.","Wir haben zahlreiche positive Kundenreferenzen, die die Qualität unserer Produkte unterstreichen."
"Der Arzt öffnete seinen Arztkoffer, um das notwendige Werkzeug herauszuholen.","Dier Ärzt*in öffnete deren Ärzt*inkoffer, um das notwendige Werkzeug herauszuholen.","Der Arzt öffnete seine rztinkoffer, um das notwendige Werkzeug herauszuholen."
W,W,W W st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st s
Das Patientenzimmer wurde frisch renoviert und bietet nun mehr Komfort.,Das Patient:inzimmer wurde frisch renoviert und bietet nun mehr Komfort.,Das Patientinzimmer wurde frisch renoviert und bietet nun mehr Komfort.
W,W,W W st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st st s
"Die Landwirtin pflanzte in diesem Jahr mehr Gemüse an, um die Nachfrage der regionalen Märkte zu decken.","Dier Landwirt_in pflanzte in diesem Jahr mehr Gemüse an, um die Nachfrage der regionalen Märkte zu decken.","Der Landwirt pflanzte in diesem Jahr mehr Gemüse an, um die Nachfrage der regionalen Märkte zu decken."
Im Bürgerinamt kann man einen neuen Personalausweis beantragen.,Im Bürger_inamt kann man einen neuen Personalausweis beantragen.,Im Bürgeramt kann man einen neuen Personalausweis beantragen.
Die unbemannte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.,Die ferngesteuerte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.,Die ferngesteuerte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.
Der Veranstalter des Musikfestivals sorgte für eine reibungslose Organisation und ein abwechslungsreiches Programm für die Besucher.,Dier VeranstalterIn des Musikfestivals sorgte für eine reibungslose Organisation und ein abwechslungsreiches Programm für die BesucherInnen.,Der Veranstalter des Musikfestivals sorgte für eine reibungslose Organisation und ein abwechslungsreiches Programm für die Besucher.
