gendered,non_gendered
Der StifterInnenrat entscheidet über die Vergabe von Fördermitteln aus der Stiftung.,Der Stifterrat entscheidet über die Vergabe von Fördermitteln aus der Stiftung.
"Die Terrorist_innen planten einen Anschlag auf das Regierungsgebäude, wurden aber rechtzeitig gestoppt.","Die Terroristinnen planten einen Anschlag auf das Regierungsgebäude, wurden aber rechtzeitig gestoppt."
Dier größte:r Unterstützer*in erhielt zum Ende eine Urkunde.,Die größte Unterstützerin erhielt zum Ende eine Urkunde.
Trotz der Beweise blieben einige ZweiflerInnen skeptisch gegenüber der Theorie.,Trotz der Beweise blieben einige Zweifler skeptisch gegenüber der Theorie.
Dier Meldende erhielt eine Quittung für deren Meldung.,Der Meldende erhielt eine Quittung für seine Meldung.
Die Philosoph:innen diskutierten über das Wesen der Wahrheit.,Die Philosophinnen diskutierten über das Wesen der Wahrheit.
Die Ehepartnerin zeigte stolz ihren Eher_ing.,Der Ehepartner zeigte stolz seinen Ehering.
Der Fußgänger/inüberweg war gut beleuchtet.,Der Fußgängerinüberweg war gut beleuchtet.
... Liebe Bekannte und unterstützender Personenkreis unseres Vereins!,... Liebe Freundinnen und Fördererinnen unseres Vereins!
Dier Zeug/in sagte im Gerichtsprozess gegen dier Angeklagte/n aus.,Der Zeuge sagte im Gerichtsprozess gegen den Angeklagten aus.
Mein Elternteil erzählte mir oft Geschichten aus deren Kindheit.,Mein Vater erzählte mir oft Geschichten aus seiner Kindheit.
Der Rat einer Fachperson war in dieser Situation unverzichtbar.,Der Rat eines Fachmannes war in dieser Situation unverzichtbar.
Dier Meldende erhielt eine Quittung für deren Meldung.,Die Meldende erhielt eine Quittung für ihre Meldung.
Dier Umschüler/in begann eine neue Ausbildung im IT-Bereich.,Der Umschüler begann eine neue Ausbildung im IT-Bereich.
Die Referent/innen waren Expert/innen auf ihrem Gebiet und lieferten wertvolle Einblicke während des Seminars.,Die Referenten waren Experten auf ihrem Gebiet und lieferten wertvolle Einblicke während des Seminars.
Die Gäst/innen genossen das Festessen und die Gesellschaft.,Die Gäste genossen das Festessen und die Gesellschaft.
Die Strahleperson auf dem Werbeplakat lächelte freundlich.,Die Strahlefrau auf dem Werbeplakat lächelte freundlich.
Das Nationalteam feierte ihren Sieg im Finale des Turniers und brachte damit stolz den Pokal zurück in ihr Heimatland.,Das Nationalteam feierte ihren Sieg im Finale des Turniers und brachte damit stolz den Pokal zurück in sein Heimatland.
Meine Nebenperson im Kino hat laut geschnarcht.,Meine Nebenfrau im Kino hat laut geschnarcht.
Menschen kamen aus aller Welt.,Menschen kamen aus aller Herren Länder.
Die Redendenliste für die Konferenz wurde vorab veröffentlicht.,Die Rednerinnenliste für die Konferenz wurde vorab veröffentlicht.
Dier Demonstrant:in hielt deren Transparent in die Höhe.,Der Demonstrant hielt sein Transparent in die Höhe.
Dier Verbandsgesellschafter*in brachte Erfahrungen und Vorschläge in die Verbandsversammlung ein.,Der Verbandsgesellschafter brachte Erfahrungen und Vorschläge in die Verbandsversammlung ein.
Für Tierschützer:innen ist der Schutz von Wildtieren eine wichtiges Thema.,Für Tierschützer ist der Schutz von Wildtieren eine wichtiges Thema.
Dier Taucher*in erkundete das bunte Korallenriff und entdeckte dabei zahlreiche exotische Fische.,Die Taucherin erkundete das bunte Korallenriff und entdeckte dabei zahlreiche exotische Fische.
Dier Drittanbieter*in stellte zusätzliche Softwarelösungen bereit.,Der Drittanbieter stellte zusätzliche Softwarelösungen bereit.
Dier Dispatcher:in koordinierte die Einsätze der Rettungskräfte.,Die Dispatcherin koordinierte die Einsätze der Rettungskräfte.
Toma ist Berfusschüler*in an einer Berufschule und hat sehr viel Spass an dem lernen und der Unterrichtsgestaltung.,Toma ist Berfusschüler an einer Berufschule und hat sehr viel Spass an dem lernen und der Unterrichtsgestaltung.
Die Gesellschaftenden trafen sich zur jährlichen Generalversammlung.,Die Gesellschafterinnen trafen sich zur jährlichen Generalversammlung.
"Eine unbekannte Person hatte das Päckchen vor der Haustür abgelegt, ohne eine absendende Person anzugeben.","Ein Unbekannter hatte das Päckchen vor der Haustür abgelegt, ohne einen Absender anzugeben."
"Die Sprachlernenden übten täglich, um ihre Sprachkenntnisse zu verbessern.","Die Sprachschülerinnen übten täglich, um ihre Sprachkenntnisse zu verbessern."
"Die Stifter_innenversammlung fand einmal im Jahr statt, um die Entwicklung der Stiftung zu besprechen.","Die Stifterversammlung fand einmal im Jahr statt, um die Entwicklung der Stiftung zu besprechen."
"Unter den Anwesenden war keine Person, die den Verlust des Schlüssels bemerkt hatte.","Unter den Anwesenden war keiner, der den Verlust des Schlüssels bemerkt hatte."
Die Host*essen begrüßten die Gäst*innen auf der Veranstaltung.,Die Hosts begrüßten die Gäste auf der Veranstaltung.
Die Einflussnehmenden wirkten im Hintergrund an den Entscheidungen mit.,Die Einflussnehmerinnen wirkten im Hintergrund an den Entscheidungen mit.
Dier Sexarbeiter_in forderte mehr Rechte und Schutz.,Die Sexarbeiterin forderte mehr Rechte und Schutz.
Dier Darsteller/in auf der Bühne beeindruckte das Publikum mit deren beeindruckenden Präsenz.,Die Darstellerin auf der Bühne beeindruckte das Publikum mit ihrer beeindruckenden Präsenz.
Die Kund_inwünsche stehen bei uns an erster Stelle und prägen unser Angebot.,Die Kundenwünsche stehen bei uns an erster Stelle und prägen unser Angebot.
Alle VereinsmitgliederInnen sind zur Hauptversammlung eingeladen.,Alle Vereinsmitglieder sind zur Hauptversammlung eingeladen.
"Der Kund/inservice steht Ihnen rund um die Uhr zur Verfügung, um Ihre Anliegen zu klären.","Der Kundinservice steht Ihnen rund um die Uhr zur Verfügung, um Ihre Anliegen zu klären."
"... Halten Sie 1,5m Abstand zu anderen. / ... Halten Sie 1,5m Abstand zur Person vor Ihnen.","... Halten Sie 1,5m Abstand zum Vordermann."
Der Mensch mit Migrationshintergrund /-geschichte /-biografie lernte schnell die Sprache seines neuen Heimatlandes.,Die Einwanderin lernte schnell die Sprache ihres neuen Heimatlandes.
"Die Tagesbetreuung betreut die Kinder liebevoll in einer familiären Umgebung, während die Eltern arbeiten.","Der Tagesvater betreut die Kinder liebevoll in einer familiären Umgebung, während die Eltern arbeiten."
Der Expert:innenvortrag zog viele Zuhörer:innen an.,Der Expertinnenvortrag zog viele Zuhörerinnen an.
Dier Seiteneinsteiger/in kam aus einem anderen Berufsfeld.,Der Seiteneinsteiger kam aus einem anderen Berufsfeld.
"Die Kampfrichter/inverzerrung wurde beanstandet, da sie den Wettbewerb beeinträchtigte.","Die Kampfrichterinverzerrung wurde beanstandet, da sie den Wettbewerb beeinträchtigte."
Die Nachtschwärmer*innen tanzten bis in die frühen Morgenstunden.,Die Nachtschwärmerinnen tanzten bis in die frühen Morgenstunden.
Dier Maurer:in baute die Wände des neuen Hauses.,Der Maurer baute die Wände des neuen Hauses.
Die*der Bürgermeister*in eröffnete das Sommerfest mit einer Ansprache. Die Bewohner*innen des Ortes jubelten dem zu. ,Der Bürgermeister eröffnete das Sommerfest mit einer Ansprache. Die Bewohner des Ortes jubelten ihm zu. 
Dier Künstler_in stellte deren neuen Werke in der Galerie aus.,"Die Künstlerin stellte ihre neuen Werke in der Galerie aus.
"
Dier Klassenkamerad:in und ich bereiteten gemeinsam das Referat vor.,Die Klassenkameradin und ich bereiteten gemeinsam das Referat vor.
Dier Influencer/in teilte täglich Tipps zu nachhaltigem Leben auf deren Social-Media-Kanälen.,Der Influencer teilte täglich Tipps zu nachhaltigem Leben auf seinen Social-Media-Kanälen.
Dier Kolonialherr*in regierte mit harter Hand.,Der Kolonialherr regierte mit harter Hand.
Das Unternehmen ist weltmarktführend in der Produktion von Solarpanelen.,Das Unternehmen ist die Weltmarktführerin in der Produktion von Solarpanelen.
"Die angreifende Person sollte lernen, deren Wut zu kontrollieren. ","Die Angreiferin sollte lernen, ihre Wut zu kontrollieren"
Dier BogenschützIn traf das Ziel mit präziser Genauigkeit.,Die Bogenschützin traf das Ziel mit präziser Genauigkeit.
Dier Zeitarbeitnehmer*in wurde für ein kurzfristiges Projekt eingestellt.,Der Zeitarbeitnehmer wurde für ein kurzfristiges Projekt eingestellt.
"Die Besuchsanschrift wurde für die Einladung zum Event verwendet, um sicherzustellen, dass alle informiert wurden.","Die Besucherinanschrift wurde für die Einladung zum Event verwendet, um sicherzustellen, dass alle informiert wurden.
"
Die Auszubildenden lernten die Grundlagen des Handwerks. ,Die Auszubildenden lernten die Grundlagen des Handwerks.
Die bürgende Person garantierte für die Rückzahlung des Kredits.,Der Bürge garantierte für die Rückzahlung des Kredits.
"Der Bürger_inkrieg in Syrien hat sehr viel im Land zerstört, nun leiden viele an Hungersnot und Trauma.","Der Bürgerkrieg in Syrien hat sehr viel im Land zerstört, nun leiden viele an Hungersnot und Trauma."
Die RezipientInnen der neuen Studie waren vor allem Fachleute aus der Branche.,Die Rezipienten der neuen Studie waren vor allem Fachleute aus der Branche.
"Die professionell kochende Person bereitete das Festessen mit frischen, regionalen Zutaten zu.","Der Koch bereitete das Festessen mit frischen, regionalen Zutaten zu."
Dier Kontrolleur/in überprüfte sorgfältig die Sicherheitsstandards im Werk.,Der Kontrolleur überprüfte sorgfältig die Sicherheitsstandards im Werk.
Dey fühlt sich durch die Diskussion persönlich angesprochen.,Sie  fühlt sich durch die Diskussion persönlich angesprochen.
Nach dem Inhaber_inwechsel wurden einige Veränderungen im Geschäft vorgenommen.,Nach dem Inhaberinwechsel wurden einige Veränderungen im Geschäft vorgenommen.
Die Zivilrechtsbewegung kämpfte für Gleichberechtigung und Gerechtigkeit.,Die Bürgerrechtsbewegung kämpfte für Gleichberechtigung und Gerechtigkeit.
Im Doktorand/innenkolleg fand ein intensiver Austausch statt.,Im Doktorandinnenkolleg fand ein intensiver Austausch statt.
Die Chorleitung dirigierte den Chor während des Konzerts.,Die Chorleiterin dirigierte den Chor während des Konzerts.
Die rechtsextrem eingestellte Person propagierte extremistische Ideologien.,Die Nationalsozialistin propagierte extremistische Ideologien.
"Alle, die sich anmelden, bekommen ein kostenloses Ticket.","Jede, die sich anmeldet, bekommt ein kostenloses Ticket."
Dier Kandidat_in stellte deren Visionen und Pläne für die Zukunft des Landes bei einer öffentlichen Debatte vor.,Die Kandidatin stellte ihre Visionen und Pläne für die Zukunft des Landes bei einer öffentlichen Debatte vor.
Der Erfolg des Originals führte schnell zu vielen Nachahmer:innen.,Der Erfolg des Originals führte schnell zu vielen Nachahmern.
Dier Interviewpartner/in gab ausführliche Antworten auf alle Fragen.,Der Interviewpartner gab ausführliche Antworten auf alle Fragen.
Der Fahrzeughalter war für die Wartung seines Autos verantwortlich.,Der Fahrzeughalter war für die Wartung seines Autos verantwortlich.
Die zu zu prüfende Person war sehr nervös vor der Prüfung.,Der Prüfling war sehr nervös vor der Prüfung.
Als Laborarbeiter:in unterstützt dey bei Experimenten und sorgt für die Sauberkeit des Labors.,Als Laborarbeiter unterstützt er bei Experimenten und sorgt für die Sauberkeit des Labors.
Die Ergebnisse der Mitarbeiter*inumfrage wurden anonym ausgewertet.,Die Ergebnisse der Mitarbeiterumfrage wurden anonym ausgewertet.
Deren DozentIntätigkeit umfasst Vorlesungen und Seminare.,Ihre Dozentintätigkeit umfasst Vorlesungen und Seminare.
Es sind viele Beteiligte dabei,Es sind nur weibliche Beteiligte dabei
Dier WahlhelferIn zählte die Stimmen aus. ,Der Wahlhelfer zählte die Stimmen aus. 
Dier HackerIn verschaffte sich unbefugten Zugang zu sensiblen Daten.,Der Hacker verschaffte sich unbefugten Zugang zu sensiblen Daten.
Die Nähenden arbeiteten fleißig in der Fabrik.,Die Näherinnen arbeiteten fleißig in der Fabrik.
Der Säugling schlief friedlich in seinem Bettchen.,Der Säugling schlief friedlich in seinem Bettchen.
Dier Weinliebhaber:in sammelte edle Flaschen und besuchte regelmäßig Weinfeste und Verkostungen.,Der Weinliebhaber sammelte edle Flaschen und besuchte regelmäßig Weinfeste und Verkostungen.
Die Illustrator_innen arbeiteten gemeinsam an einem großen Projekt für eine neue Buchreihe.,Die Illustratorinnen arbeiteten gemeinsam an einem großen Projekt für eine neue Buchreihe.
Dier Marktschreier*in zog die Aufmerksamkeit der Passant*innen auf sich.,Der Marktschreier zog die Aufmerksamkeit der Passanten auf sich.
Dier Wächter*in des Waldes beschützt die Tiere und Pflanzen vor Eindringlingen.,Der Wächter des Waldes beschützt die Tiere und Pflanzen vor Eindringlingen.
"Deren Berater*intätigkeit half vielen Unternehmen, ihre Effizienz zu steigern.","Seine Beratertätigkeit half vielen Unternehmen, ihre Effizienz zu steigern."
Der wissenschaftliche Nachwuchs präsentierte deren bahnbrechende Forschung auf der Konferenz und erhielt dafür Anerkennung von der renommierten Kollegschaft in deren Fachgebiet.,Der Nachwuchswissenschaftler präsentierte seine bahnbrechende Forschung auf der Konferenz und erhielt dafür Anerkennung von renommierten Kollegen in seinem Fachgebiet.
Die Archivar*innen bewahren historische Manuskripte auf.,Die Archivarinnen bewahren historische Manuskripte auf.
Die Närrischen freuen sich auf Karneval.,Die Narrinnen freuen sich auf Karneval.
Die Mitglieder_innen der Genossenschaft entschieden gemeinsam über die zukünftigen Projekte.,Die Mitglieder der Genossenschaft entschieden gemeinsam über die zukünftigen Projekte.
"Deren Berater/intätigkeit half vielen Unternehmen, ihre Effizienz zu steigern.","Seine Beratertätigkeit half vielen Unternehmen, ihre Effizienz zu steigern."
"Es herrscht eine Notsituation, wir brauchen dringend Verstärkung.","Es herrscht Not an der Frau, wir brauchen dringend Verstärkung."
Dier Faschist*in verbreitete gefährliche Ideologien.,Die Faschistin verbreitete gefährliche Ideologien.
Ich wurde von einer alleinerziehenden Person aufgezogen.,Ich wurde von einem Alleinerziehenden aufgezogen.
Die Anhänger:in unterstützen ihr Team bei jedem Spiel. ,Der Anhänger unterstützen sein Team bei jedem Spiel. 
Dier Informatiker*in entwickelte eine neue Software zur Datenanalyse.,Der Informatiker entwickelte eine neue Software zur Datenanalyse.
"... Ich suche jemanden, dier gut Englisch spricht.","... Ich suche jemanden, der gut Englisch spricht."
"Dey ist Betreiber_in, dort wird XY hergestellt.","Er ist Betrieber, dort wird XY hergestellt."
Dier Schulbegleiter/in unterstützte das Kind während des Unterrichts und half bei der Integration.,Die Schulbegleiterin unterstützte das Kind während des Unterrichts und half bei der Integration.
Dier Teilnehmer:in hat während des Kurses große Fortschritte gemacht.,Die Teilnehmerin hat während des Kurses große Fortschritte gemacht.
Dier Päpst*in hielt eine bewegende Rede auf dem Petersplatz.,Die Päpstin hielt eine bewegende Rede auf dem Petersplatz.
Die Autofahrende hielten an der roten Ampel.,Die Autofahrerinnen hielten an der roten Ampel.
Die Modeschöpfer/innen präsentierten ihre neue Kollektion auf der Fashion Week.,Die Modeschöpferinnen präsentierten ihre neue Kollektion auf der Fashion Week.
Dier Systembetreuer:in überwachte die IT-Infrastruktur des Unternehmens und sorgte für eine reibungslose Funktionalität.,Der Systembetreuer überwachte die IT-Infrastruktur des Unternehmens und sorgte für eine reibungslose Funktionalität.
Dier Fahrzeuglenker*in achtete besonders auf die Verkehrsschilder.,Die Fahrzeuglenkerin achtete besonders auf die Verkehrsschilder.
In der König:inklasse des Motorsports dominieren die besten Fahrerinnen der Welt.,"In der Königinklasse des Motorsports dominieren die besten Fahrerinnen der Welt.
"
Dier Kund_inberaterin half bei der Auswahl des besten Tarifs für die Versicherung.,Die Kundinberaterin half bei der Auswahl des besten Tarifs für die Versicherung.
"... Manch einer Person ist gar nicht klar, was dey damit anrichtet.","... Manch einem ist gar nicht klar, was er damit anrichtet."
Dier Podolog/in kümmerte sich um die Fußgesundheit und behandelte verschiedene Fußbeschwerden.,Der Podologe kümmerte sich um die Fußgesundheit und behandelte verschiedene Fußbeschwerden.
Dier RadiologIn analysierte die Röntgenbilder.,Der Radiologe analysierte die Röntgenbilder.
"Dier Schreiber_in verfasste das Protokoll der Besprechung, damit alle Entscheidungen dokumentiert wurden.","Die Schreiberin verfasste das Protokoll der Besprechung, damit alle Entscheidungen dokumentiert wurden."
Das bürger/inwissenschaftliche Projekt sammelte Daten zur Luftqualität.,Das bürgerinwissenschaftliche Projekt sammelte Daten zur Luftqualität.
Dier Respondent/in gab detaillierte Antworten auf die Fragen der Umfrage.,Die Respondentin gab detaillierte Antworten auf die Fragen der Umfrage.
"Dier Späher_in beobachtete das feindliche Lager aus der Ferne, um wichtige Informationen zu sammeln.","Die Späherin beobachtete das feindliche Lager aus der Ferne, um wichtige Informationen zu sammeln."
Dier Schwimmlehrer:in brachte den Kindern das Tauchen bei.,Die Schwimmlehrerin brachte den Kindern das Tauchen bei.
Das Patient*inwohl hat oberste Priorität in allen Behandlungsprozessen.,Das Patientinwohl hat oberste Priorität in allen Behandlungsprozessen.
Dier Beschäftigte der Müllabfuhr leerte die Tonnen früh am Morgen.,Die Müllfrau leerte die Tonnen früh am Morgen.
"Beim Schüler:intriathlon traten die Kinder in den Disziplinen Schwimmen, Radfahren und Laufen gegeneinander an.","Beim Schülertriathlon traten die Kinder in den Disziplinen Schwimmen, Radfahren und Laufen gegeneinander an."
"Dier Tutor*in half den Student*innen dabei, die komplexen mathematischen Konzepte besser zu verstehen.","Die Tutorin half den Studentinnen dabei, die komplexen mathematischen Konzepte besser zu verstehen."
Die SchülerInnen warten auf die Pause.,Die Schülerinnen warten auf die Pause.
Dier Ersthelfer_in reagierte schnell und rettete das Leben der verletzten Person.,Der Ersthelfer reagierte schnell und rettete das Leben des Verletzten.
Die Ordnensperson verbrachte ihre Tage in Meditation.,Der Mönch verbrachte seine Tage in Meditation.
Ohne die Administrator/innen wären wir schon längst aufgeschmissen,Ohne die Administratorinnen wären wir schon längst aufgeschmissen
"... Gibt es einen Konflikt zwischen zwei WG-Bewohnenden, kann die Unterstützung durch eine dritte Person hilfreich sein.","... Gibt es einen Konflikt zwischen zwei WG-Bewohnern, kann die Unterstützung durch einen Dritten hilfreich sein."
